Accession,Code,Catalog,Section,Page,Filename,Method
1012,E,3757,SKINS,1,scanDE0000.jpg,Standard
1012,E,3758,SKINS,1,scanDE0000.jpg,Standard
1012,E,3770,SKINS,1,scanDE0000.jpg,Standard
1012,E,3779,SKINS,1,scanDE0000.jpg,Standard
1012,E,3781,SKINS,1,scanDE0000.jpg,Standard
1012,E,3784,SKINS,1,scanDE0000.jpg,Standard
1012,E,3785,SKINS,1,scanDE0000.jpg,Standard
1012,E,3787,SKINS,1,scanDE0000.jpg,Standard
1012,E,3790,SKINS,1,scanDE0000.jpg,Standard
1012,E,3792,SKINS,1,scanDE0000.jpg,Standard
10351,E,114957,SKINS,1,scanDE0000.jpg,Standard
10354,E,115074,SKINS,1,scanDE0000.jpg,Standard
10358,E,115179,SKINS,1,scanDE0000.jpg,Standard
10358,E,115180,SKINS,1,scanDE0000.jpg,Standard
10358,E,115205,SKINS,1,scanDE0000.jpg,Standard
10358,E,115211,SKINS,1,scanDE0000.jpg,Standard
10358,E,115256,SKINS,1,scanDE0000.jpg,Standard
10358,E,115288,SKINS,1,scanDE0000.jpg,Standard
10358,E,115308,SKINS,1,scanDE0000.jpg,Standard
10358,E,115313,SKINS,1,scanDE0000.jpg,Standard
10358,E,115330,SKINS,1,scanDE0000.jpg,Standard
10358,E,115334,SKINS,1,scanDE0000.jpg,Standard
10358,E,115397,SKINS,1,scanDE0000.jpg,Standard
10358,E,115402,SKINS,1,scanDE0000.jpg,Standard
10358,E,115425,SKINS,1,scanDE0000.jpg,Standard
10358,E,115430,SKINS,1,scanDE0000.jpg,Standard
10358,E,115436,SKINS,1,scanDE0000.jpg,Standard
10358,E,115473,SKINS,1,scanDE0000.jpg,Standard
10358,E,115500,SKINS,1,scanDE0000.jpg,Standard
10358,E,115521,SKINS,1,scanDE0000.jpg,Standard
10358,E,115535,SKINS,1,scanDE0000.jpg,Standard
10358,E,115543,SKINS,1,scanDE0000.jpg,Standard
10358,E,115694,SKINS,1,scanDE0000.jpg,Standard
10358,E,115695,SKINS,1,scanDE0000.jpg,Standard
10358,E,115727,SKINS,1,scanDE0000.jpg,Standard
10358,E,115770,SKINS,1,scanDE0000.jpg,Standard
10358,E,115790,SKINS,1,scanDE0000.jpg,Standard
10358,E,115795,SKINS,1,scanDE0000.jpg,Standard
10358,E,115797,SKINS,1,scanDE0000.jpg,Standard
10358,E,115799,SKINS,1,scanDE0000.jpg,Standard
10358,E,115804,SKINS,1,scanDE0000.jpg,Standard
10358,E,115861,SKINS,1,scanDE0000.jpg,Standard
10358,E,115887,SKINS,1,scanDE0000.jpg,Standard
10358,E,115898,SKINS,1,scanDE0000.jpg,Standard
10358,E,115923,SKINS,1,scanDE0000.jpg,Standard
10358,E.,115924,SKINS,1,scanDE0000.jpg,Standard
10358,E,115933,SKINS,1,scanDE0000.jpg,Standard
10358,E,115945,SKINS,1,scanDE0000.jpg,Standard
10361,E,116007,SKINS,1,scanDE0000.jpg,Standard
10361,E,116008,SKINS,1,scanDE0000.jpg,Standard
10361,E,116009,SKINS,1,scanDE0000.jpg,Standard
10361,E,116010,SKINS,1,scanDE0000.jpg,Standard
10361,E,116011,SKINS,1,scanDE0000.jpg,Standard
10361,E,116012,SKINS,1,scanDE0000.jpg,Standard
10361,E,116013,SKINS,1,scanDE0000.jpg,Standard
10361,E,116014,SKINS,1,scanDE0000.jpg,Standard
10361,E,116015,SKINS,1,scanDE0000.jpg,Standard
10361,E,116017,SKINS,1,scanDE0000.jpg,Standard
10361,E,116018,SKINS,1,scanDE0000.jpg,Standard
10361,E,116019,SKINS,1,scanDE0000.jpg,Standard
10361,E,116020,SKINS,1,scanDE0000.jpg,Standard
10361,E,116024,SKINS,1,scanDE0000.jpg,Standard
10361,E,116025,SKINS,1,scanDE0000.jpg,Standard
10361,E,116026,SKINS,1,scanDE0000.jpg,Standard
10361,E,116029,SKINS,1,scanDE0000.jpg,Standard
10361,E,116030,SKINS,1,scanDE0000.jpg,Standard
10361,E.,116031,SKINS,1,scanDE0000.jpg,Standard
10361,E,116032,SKINS,1,scanDE0000.jpg,Standard
