3386E     27827          3488E     29669          3749G     30684
3386E     27834          3488E     29678          3749G     30695
34209G     168697         3488E     29679          3786E     30740
344D     1811           3488E     29712          3786E     30753
3444E     27866          3488E     29784          3786E     30754
346E     1812           3488E     29787          3786E     30756
346E     1814           3488E     29799          3786E     30786
346E     1816           3488E     29810          3786E     30789
346E     1817           3488E     29812          3786E     30795
3462E     1819           3488E     29813          3786E     30799
346E     1820           3574G     29856          3786E     30814
346E     1821           3588E     30062          3786E     30853
346E     1825           3588E     30139          3786E     30874
3463E     1826           3588E     30156          39    D     73
3464E     28008          3588E     30186          39    D     102
3464E     28042          3588E    30191          39    D     152
3464E     28210          3588E     30224          39    D     153
3464E     28293          3588E     30268          39    D     154
3464E     28385          3588E     30285          39    D     155
3464E     28510          3588E     30302          39    D     157
3464E     28557          3588E     30308          39    D     160
3464E     28772          361D     1827           39    D     161
3464E     28790          3659E     29861          39    D     162
3464E     28816          3663E     29865          39    D     163
3464E     28918          3663E     29867          39    D     177
3464E     28938          3665E     30408          39    D     178
3464E     29116          3665E     30471          39    D     179
3464E     29154          3665E     30492          39    D     181
3464E     29205          3682E     30553          39    D     182
3464E     29248          3749E     30579          39    D     185
34719E     169556         3749E     30599          39    D     186
3482E     29402          3749E     30601          39    E     3
3482E     29462          3749E     30602          39    E     5
3482E     29489          3749E     30611          39    E     6
3482E     29490          3749E     30613          39    E     7
3482E     29500          3749E     30617          39    E     8
3482E     29514          3749E     30618          39    E     9
3482E     29528          3749E     30623          39    E     10
3482E     29529          3749E    30649          39    E     11
3482E     29536          3749E     30652          39    E     12
3482E     29537          3749E     30655          39    E     13
3482E     29543          3749E     30657          39    E     14
3482E    29545          3749E     30658          39    E     15
3482E     29547          3749E     30661          39    E     16
3482E     29561          3749E     30677          39    E     17
3482E     29592          3749E     30683          39    E     18
3482E     29614          3749E     30691          39    E     19
3482E     29619          3749E     30698          39    E     20
3482E     29629          3749E     30713          39    E     21
3482E     29633          3749E     30722          39    E     22
3482E     29642          3749E     30724          39    E     23
3482E     29643          3749E     30729          39    E     24
3482E     29644          3749E     30733          39    E     25
3482E     29645          3749G     30644          39    E     26
