Page,PageComplete,Type,Accession,Code,Catalog,Deaccession,Date,Temp#,Genus,Species
g1,True,TAXIDERMY,288,G,1782,191,1999-05-01,,Histrionicus,histrionicus
g1,True,TAXIDERMY,504,G,1881,191,1999-05-01,,Oxyura,jamaicensis
g1,True,TAXIDERMY,504,G,1882,191,1999-05-01,,Aythya,americana
g1,True,TAXIDERMY,504,G,1884,191,1999-05-01,,Anas,clypeata
g1,True,TAXIDERMY,504,G,1906,191,1999-05-01,,Anser,albifrons
g1,True,TAXIDERMY,504,G,1907,191,1999-05-01,,Chen,caerulescens
g1,True,TAXIDERMY,534,G,2022,191,1999-05-01,,Vermivora,chrysoptera
g1,True,TAXIDERMY,556,G,2135,191,1999-05-01,,Aix,sponsa
g1,True,TAXIDERMY,561,G,2406,191,1999-05-01,,Dendroica,pensylvanica
g1,True,TAXIDERMY,561,G,2451,191,1999-05-01,,Vermivora,chrysoptera
g1,True,TAXIDERMY,754,G,2642,191,1999-05-01,,Dendroica,pensylvanica
g1,True,TAXIDERMY,928,G,3718,191,1999-05-01,,Branta,canadensis
g1,True,TAXIDERMY,928,G,3719,191,1999-05-01,,Aythya,affinis
g1,True,TAXIDERMY,1071,D,3823,191,1999-05-01,,Vermivora,ruficapilla
g1,True,TAXIDERMY,1131,G,4277,191,1999-05-01,,Colinus,virginianus
g1,True,TAXIDERMY,1131,G,4278,191,1999-05-01,,Colinus,virginianus
g1,True,TAXIDERMY,1131,G,4279,191,1999-05-01,,Colinus,virginianus
g1,True,TAXIDERMY,1131,G,4280,191,1999-05-01,,Colinus,virginianus
g1,True,TAXIDERMY,1131,G,4281,191,1999-05-01,,Colinus,virginianus
g1,True,TAXIDERMY,1131,G,4282,191,1999-05-01,,Colinus,virginianus
g1,True,TAXIDERMY,1131,G,4283,191,1999-05-01,,Colinus,virginianus
g1,True,TAXIDERMY,1131,G,4284,191,1999-05-01,,Colinus,virginianus
g1,True,TAXIDERMY,1131,G,4285,191,1999-05-01,,Colinus,virginianus
g1,True,TAXIDERMY,1131,G,4286,191,1999-05-01,,Colinus,virginianus
g1,True,TAXIDERMY,1131,G,4287,191,1999-05-01,,Colinus,virginianus
g1,True,TAXIDERMY,1154,G,4349,191,1999-05-01,,Colinus,virginianus
g1,True,TAXIDERMY,1154,G,4350,191,1999-05-01,,Colinus,virginianus
