Page,PageComplete,Type,Accession,Code,Catalog,Deaccession,Date,Temp#,Genus,Species
Page,PageComplete,Type,Accession,Code,Catalog,Deaccession,Date,Temp#,Genus,Species
1,True,SKINS,1012,E,3757,172,1997-05-01,,,
1,True,SKINS,1012,E,3758,172,1997-05-01,,,
1,True,SKINS,1012,E,3770,172,1997-05-01,,,
1,True,SKINS,1012,E,3779,172,1997-05-01,,,
1,True,SKINS,1012,E,3781,172,1997-05-01,,,
1,True,SKINS,1012,E,3784,172,1997-05-01,,,
1,True,SKINS,1012,E,3785,172,1997-05-01,,,
1,True,SKINS,1012,E,3787,172,1997-05-01,,,
1,True,SKINS,1012,E,3790,172,1997-05-01,,,
1,True,SKINS,1012,E,3792,172,1997-05-01,,,
1,True,SKINS,1071,E,3816,172,1997-05-01,,,
1,True,SKINS,1071,E,3825,172,1997-05-01,,,
1,True,SKINS,1071,E,3842,172,1997-05-01,,,
1,True,SKINS,1071,E,3853,172,1997-05-01,,,
1,True,SKINS,1071,E,3854,172,1997-05-01,,,
1,True,SKINS,1087,E,3855,172,1997-05-01,,,
1,True,SKINS,1097,E,3859,172,1997-05-01,,,
1,True,SKINS,1097,E,3860,172,1997-05-01,,,
1,True,SKINS,1097,E,3861,172,1997-05-01,,,
1,True,SKINS,1097,E,3864,172,1997-05-01,,,
1,True,SKINS,10351,E,114957,172,1997-05-01,,,
1,True,SKINS,10354,E,115074,172,1997-05-01,,,
1,True,SKINS,10358,E,115179,172,1997-05-01,,,
1,True,SKINS,10358,E,115180,172,1997-05-01,,,
1,True,SKINS,10358,E,115205,172,1997-05-01,,,
1,True,SKINS,10358,E,115211,172,1997-05-01,,,
1,True,SKINS,10358,E,115256,172,1997-05-01,,,
1,True,SKINS,10358,E,115288,172,1997-05-01,,,
1,True,SKINS,10358,E,115308,172,1997-05-01,,,
1,True,SKINS,10358,E,115313,172,1997-05-01,,,
1,True,SKINS,10358,E,115330,172,1997-05-01,,,
1,True,SKINS,10358,E,115334,172,1997-05-01,,,
1,True,SKINS,10358,E,115397,172,1997-05-01,,,
1,True,SKINS,10358,E,115402,172,1997-05-01,,,
1,True,SKINS,10358,E,115425,172,1997-05-01,,,
1,True,SKINS,10358,E,115430,172,1997-05-01,,,
1,True,SKINS,10358,E,115436,172,1997-05-01,,,
1,True,SKINS,10358,E,115473,172,1997-05-01,,,
1,True,SKINS,10358,E,115500,172,1997-05-01,,,
1,True,SKINS,10358,E,115521,172,1997-05-01,,,
1,True,SKINS,10358,E,115535,172,1997-05-01,,,
1,True,SKINS,10358,E,115543,172,1997-05-01,,,
1,True,SKINS,10358,E,115694,172,1997-05-01,,,
1,True,SKINS,10358,E,115695,172,1997-05-01,,,
1,True,SKINS,10358,E,115727,172,1997-05-01,,,
1,True,SKINS,10358,E,115770,172,1997-05-01,,,
1,True,SKINS,10358,E,115790,172,1997-05-01,,,
1,True,SKINS,10358,E,115795,172,1997-05-01,,,
1,True,SKINS,10358,E,115797,172,1997-05-01,,,
1,True,SKINS,10358,E,115799,172,1997-05-01,,,
1,True,SKINS,10358,E,115804,172,1997-05-01,,,
1,True,SKINS,10358,E,115861,172,1997-05-01,,,
1,True,SKINS,10358,E,115887,172,1997-05-01,,,
1,True,SKINS,10358,E,115898,172,1997-05-01,,,
1,True,SKINS,10358,E,115923,172,1997-05-01,,,
1,True,SKINS,10358,E,115924,172,1997-05-01,,,
1,True,SKINS,10358,E,115933,172,1997-05-01,,,
1,True,SKINS,10358,E,115945,172,1997-05-01,,,
1,True,SKINS,10361,E,116007,172,1997-05-01,,,
1,True,SKINS,10361,E,116008,172,1997-05-01,,,
1,True,SKINS,10361,E,116009,172,1997-05-01,,,
1,True,SKINS,10361,E,116010,172,1997-05-01,,,
1,True,SKINS,10361,E,116011,172,1997-05-01,,,
1,True,SKINS,10361,E,116012,172,1997-05-01,,,
1,True,SKINS,10361,E,116013,172,1997-05-01,,,
1,True,SKINS,10361,E,116014,172,1997-05-01,,,
1,True,SKINS,10361,E,116015,172,1997-05-01,,,
1,True,SKINS,10361,E,116017,172,1997-05-01,,,
1,True,SKINS,10361,E,116018,172,1997-05-01,,,
1,True,SKINS,10361,E,116019,172,1997-05-01,,,
