Page,PageComplete,Type,Accession,Code,Catalog
1,True,SKINS,1012,E,3757
1,True,SKINS,1012,E,3758
1,True,SKINS,1012,E,3770
1,True,SKINS,1012,E,3779
1,True,SKINS,1012,E,3781
1,True,SKINS,1012,E,3784
1,True,SKINS,1012,E,3785
1,True,SKINS,1012,E,3787
1,True,SKINS,1012,E,3790
1,True,SKINS,1012,E,3792
1,True,SKINS,1071,E,3816
1,True,SKINS,1071,E,3825
1,True,SKINS,1071,E,3842
1,True,SKINS,1071,E,3853
1,True,SKINS,1071,E,3854
1,True,SKINS,1087,E,3855
1,True,SKINS,1097,E,3859
1,True,SKINS,1097,E,3860
1,True,SKINS,1097,E,3861
1,True,SKINS,1097,E,3864
1,True,SKINS,10351,E,114957
1,True,SKINS,10354,E,115074
1,True,SKINS,10358,E,115179
1,True,SKINS,10358,E,115180
1,True,SKINS,10358,E,115205
1,True,SKINS,10358,E,115211
1,True,SKINS,10358,E,115256
1,True,SKINS,10358,E,115288
1,True,SKINS,10358,E,115308
1,True,SKINS,10358,E,115313
1,True,SKINS,10358,E,115330
1,True,SKINS,10358,E,115334
1,True,SKINS,10358,E,115397
1,True,SKINS,10358,E,115402
1,True,SKINS,10358,E,115425
1,True,SKINS,10358,E,115430
1,True,SKINS,10358,E,115436
1,True,SKINS,10358,E,115473
1,True,SKINS,10358,E,115500
1,True,SKINS,10358,E,115521
1,True,SKINS,10358,E,115535
1,True,SKINS,10358,E,115543
1,True,SKINS,10358,E,115694
1,True,SKINS,10358,E,115695
1,True,SKINS,10358,E,115727
1,True,SKINS,10358,E,115770
1,True,SKINS,10358,E,115790
1,True,SKINS,10358,E,115795
1,True,SKINS,10358,E,115797
1,True,SKINS,10358,E,115799
1,True,SKINS,10358,E,115804
1,True,SKINS,10358,E,115861
1,True,SKINS,10358,E,115887
1,True,SKINS,10358,E,115898
1,True,SKINS,10358,E,115923
1,True,SKINS,10358,E,115924
1,True,SKINS,10358,E,115933
1,True,SKINS,10358,E,115945
1,True,SKINS,10361,E,116007
1,True,SKINS,10361,E,116008
1,True,SKINS,10361,E,116009
1,True,SKINS,10361,E,116010
1,True,SKINS,10361,E,116011
1,True,SKINS,10361,E,116012
1,True,SKINS,10361,E,116013
1,True,SKINS,10361,E,116014
1,True,SKINS,10361,E,116015
1,True,SKINS,10361,E,116017
1,True,SKINS,10361,E,116018
1,True,SKINS,10361,E,116019
1,True,SKINS,10361,E,116020
1,True,SKINS,10361,E,116024
1,True,SKINS,10361,E,116025
1,True,SKINS,10361,E,116026
1,True,SKINS,10361,E,116029
1,True,SKINS,10361,E,116030
1,True,SKINS,10361,E,116031
1,True,SKINS,10361,E,116032
1,True,SKINS,10361,E,116033
1,True,SKINS,10361,E,116035
1,True,SKINS,10361,E,116036
1,True,SKINS,10361,E,116038
1,True,SKINS,10361,E,116039
1,True,SKINS,10361,E,116040
1,True,SKINS,10361,E,116043
1,True,SKINS,10361,E,116044
1,True,SKINS,10361,E,116047
1,True,SKINS,10361,E,116048
1,True,SKINS,10361,E,116049
1,True,SKINS,10361,E,116050
1,True,SKINS,10361,E,116051
1,True,SKINS,10361,E,116052
1,True,SKINS,10361,E,116053
1,True,SKINS,10361,E,116054
1,True,SKINS,10363,E,116086
1,True,SKINS,10363,E,116103
1,True,SKINS,10363,E,116149
1,True,SKINS,10363,E,116154
1,True,SKINS,10363,E,116247
1,True,SKINS,10363,E,116255
1,True,SKINS,10804,E,116501
1,True,SKINS,10804,E,116509
1,True,SKINS,10804,E,116595
1,True,SKINS,10804,E,116608
1,True,SKINS,10804,E,116651
1,True,SKINS,10804,E,116660
1,True,SKINS,10804,E,116732
1,True,SKINS,10804,E,116767
1,True,SKINS,10804,E,116779
1,True,SKINS,10804,E,116860
1,True,SKINS,10804,E,117059
1,True,SKINS,10804,E,117081
1,True,SKINS,10805,D,117123
1,True,SKINS,10805,E,117115
1,True,SKINS,10805,E,117116
1,True,SKINS,10805,E,117117
1,True,SKINS,10805,E,117124
1,True,SKINS,10805,E,117125
1,True,SKINS,10805,E,117126
1,True,SKINS,10805,E,117127
1,True,SKINS,10805,E,117128
1,True,SKINS,10805,E,117131
1,True,SKINS,10805,E,117132
1,True,SKINS,10805,E,117133
1,True,SKINS,10805,E,117134
1,True,SKINS,10805,E,117135
1,True,SKINS,10805,E,117137
1,True,SKINS,10805,E,117138
1,True,SKINS,10805,E,117139
1,True,SKINS,10805,E,117146
1,True,SKINS,10805,E,117147
1,True,SKINS,10805,E,117148
1,True,SKINS,10805,E,117149
1,True,SKINS,10814,E,117485
1,True,SKINS,10814,E,117512
1,True,SKINS,10814,E,117542
1,True,SKINS,10814,E,117583
1,True,SKINS,10814,E,117591
1,True,SKINS,10814,E,117630
1,True,SKINS,10814,E,117631
1,True,SKINS,10814,E,117632
2,True,SKINS,1097,E,3876
2,True,SKINS,1097,E,3889
2,True,SKINS,1097,E,3896
2,True,SKINS,1097,E,3900
2,True,SKINS,1097,E,3909
2,True,SKINS,1097,E,3911
2,True,SKINS,1097,E,3916
2,True,SKINS,1097,E,3934
2,True,SKINS,1097,E,3940
2,True,SKINS,1097,E,3941
2,True,SKINS,1097,E,3943
2,True,SKINS,1097,E,3946
2,True,SKINS,1097,E,3949
2,True,SKINS,1097,E,3954
2,True,SKINS,1100,E,3966
2,True,SKINS,1123,E,3973
2,True,SKINS,1123,E,3977
2,True,SKINS,1123,E,3978
2,True,SKINS,1123,E,3979
2,True,SKINS,1123,E,3981
2,True,SKINS,1123,E,3986
2,True,SKINS,1123,E,3987
2,True,SKINS,1123,E,3992
2,True,SKINS,1123,E,3993
2,True,SKINS,1123,E,4000
2,True,SKINS,1123,E,4018
2,True,SKINS,1123,E,4021
2,True,SKINS,1123,E,4024
2,True,SKINS,1123,E,4025
2,True,SKINS,1127,E,4028
2,True,SKINS,1127,E,4138
2,True,SKINS,1129,E,4195
2,True,SKINS,1129,E,4197
2,True,SKINS,1129,E,4213
2,True,SKINS,1129,E,4216
2,True,SKINS,1129,E,4235
