Page,RowsExtracted,RowsExpected,PctComplete,Complete,Error,AttemptsUsed,ImageFile,OcrTextFile
1,141,141,100.0,True,,1,JPEGS\1.jpg,out\ocr_text\page_001.txt
2,162,162,100.0,True,,1,JPEGS\2.jpg,out\ocr_text\page_002.txt
3,162,162,100.0,True,,1,JPEGS\3.jpg,out\ocr_text\page_003.txt
4,162,162,100.0,True,,1,JPEGS\4.jpg,out\ocr_text\page_004.txt
5,162,162,100.0,True,,1,JPEGS\5.jpg,out\ocr_text\page_005.txt
6,162,162,100.0,True,,1,JPEGS\6.jpg,out\ocr_text\page_006.txt
7,162,162,100.0,True,,1,JPEGS\7.jpg,out\ocr_text\page_007.txt
8,162,162,100.0,True,,1,JPEGS\8.jpg,out\ocr_text\page_008.txt
9,162,162,100.0,True,,1,JPEGS\9.jpg,out\ocr_text\page_009.txt
10,162,162,100.0,True,,1,JPEGS\10.jpg,out\ocr_text\page_010.txt
11,162,162,100.0,True,,1,JPEGS\11.jpg,out\ocr_text\page_011.txt
12,162,162,100.0,True,,1,JPEGS\12.jpg,out\ocr_text\page_012.txt
13,162,162,100.0,True,,1,JPEGS\13.jpg,out\ocr_text\page_013.txt
14,162,162,100.0,True,,1,JPEGS\14.jpg,out\ocr_text\page_014.txt
15,162,162,100.0,True,,1,JPEGS\15.jpg,out\ocr_text\page_015.txt
16,162,162,100.0,True,,1,JPEGS\16.jpg,out\ocr_text\page_016.txt
17,162,162,100.0,True,,1,JPEGS\17.jpg,out\ocr_text\page_017.txt
18,162,162,100.0,True,,1,JPEGS\18.jpg,out\ocr_text\page_018.txt
19,162,162,100.0,True,,1,JPEGS\19.jpg,out\ocr_text\page_019.txt
20,158,162,97.53,False,COUNT_MISMATCH 158 != 162,6,JPEGS\20.jpg,out\ocr_text\page_020.txt
21,162,162,100.0,True,,1,JPEGS\21.jpg,out\ocr_text\page_021.txt
22,162,162,100.0,True,,1,JPEGS\22.jpg,out\ocr_text\page_022.txt
23,162,162,100.0,True,,1,JPEGS\23.jpg,out\ocr_text\page_023.txt
24,162,162,100.0,True,,1,JPEGS\24.jpg,out\ocr_text\page_024.txt
25,162,162,100.0,True,,1,JPEGS\25.jpg,out\ocr_text\page_025.txt
26,162,162,100.0,True,,1,JPEGS\26.jpg,out\ocr_text\page_026.txt
27,160,162,98.77,False,COUNT_MISMATCH 160 != 162,6,JPEGS\27.jpg,out\ocr_text\page_027.txt
28,162,162,100.0,True,,1,JPEGS\28.jpg,out\ocr_text\page_028.txt
29,162,162,100.0,True,,1,JPEGS\29.jpg,out\ocr_text\page_029.txt
30,162,162,100.0,True,,1,JPEGS\30.jpg,out\ocr_text\page_030.txt
31,162,162,100.0,True,,1,JPEGS\31.jpg,out\ocr_text\page_031.txt
32,162,162,100.0,True,,1,JPEGS\32.jpg,out\ocr_text\page_032.txt
33,162,162,100.0,True,,1,JPEGS\33.jpg,out\ocr_text\page_033.txt
34,162,162,100.0,True,,1,JPEGS\34.jpg,out\ocr_text\page_034.txt
35,162,162,100.0,True,,1,JPEGS\35.jpg,out\ocr_text\page_035.txt
36,162,162,100.0,True,,1,JPEGS\36.jpg,out\ocr_text\page_036.txt
37,162,162,100.0,True,,1,JPEGS\37.jpg,out\ocr_text\page_037.txt
38,162,162,100.0,True,,1,JPEGS\38.jpg,out\ocr_text\page_038.txt
39,162,162,100.0,True,,1,JPEGS\39.jpg,out\ocr_text\page_039.txt
40,162,162,100.0,True,,1,JPEGS\40.jpg,out\ocr_text\page_040.txt
41,162,162,100.0,True,,1,JPEGS\41.jpg,out\ocr_text\page_041.txt
42,162,162,100.0,True,,1,JPEGS\42.jpg,out\ocr_text\page_042.txt
43,162,162,100.0,True,,1,JPEGS\43.jpg,out\ocr_text\page_043.txt
44,162,162,100.0,True,,1,JPEGS\44.jpg,out\ocr_text\page_044.txt
45,162,162,100.0,True,,1,JPEGS\45.jpg,out\ocr_text\page_045.txt
