Page,RowsExtracted,RowsExpected,PctComplete,Complete,Error,Duplicates,DeskewAngleDeg,AttemptsUsed,ImageFile,OcrTextFile
1,93,141,65.96,False,COUNT_MISMATCH 93 != 141,0,0.8,6,JPEGS\1.jpg,out\ocr_text\page_001.txt
2,109,162,67.28,False,COUNT_MISMATCH 109 != 162,0,0.6,6,JPEGS\2.jpg,out\ocr_text\page_002.txt
3,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.8,6,JPEGS\3.jpg,out\ocr_text\page_003.txt
4,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.8,6,JPEGS\4.jpg,out\ocr_text\page_004.txt
5,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.6,6,JPEGS\5.jpg,out\ocr_text\page_005.txt
6,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.6,6,JPEGS\6.jpg,out\ocr_text\page_006.txt
7,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,-0.2,6,JPEGS\7.jpg,out\ocr_text\page_007.txt
8,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,-0.2,6,JPEGS\8.jpg,out\ocr_text\page_008.txt
9,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.2,6,JPEGS\9.jpg,out\ocr_text\page_009.txt
10,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.0,6,JPEGS\10.jpg,out\ocr_text\page_010.txt
11,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,-0.4,6,JPEGS\11.jpg,out\ocr_text\page_011.txt
12,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,-0.2,6,JPEGS\12.jpg,out\ocr_text\page_012.txt
13,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,-0.4,6,JPEGS\13.jpg,out\ocr_text\page_013.txt
14,109,162,67.28,False,COUNT_MISMATCH 109 != 162,0,0.4,6,JPEGS\14.jpg,out\ocr_text\page_014.txt
15,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,-0.2,6,JPEGS\15.jpg,out\ocr_text\page_015.txt
16,109,162,67.28,False,COUNT_MISMATCH 109 != 162,0,-0.2,6,JPEGS\16.jpg,out\ocr_text\page_016.txt
17,118,162,72.84,False,COUNT_MISMATCH 118 != 162,0,-0.4,6,JPEGS\17.jpg,out\ocr_text\page_017.txt
18,111,162,68.52,False,COUNT_MISMATCH 111 != 162,0,-0.2,6,JPEGS\18.jpg,out\ocr_text\page_018.txt
19,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.4,6,JPEGS\19.jpg,out\ocr_text\page_019.txt
20,104,162,64.2,False,COUNT_MISMATCH 104 != 162,0,0.4,6,JPEGS\20.jpg,out\ocr_text\page_020.txt
21,149,162,91.98,False,COUNT_MISMATCH 149 != 162,0,0.4,6,JPEGS\21.jpg,out\ocr_text\page_021.txt
22,114,162,70.37,False,COUNT_MISMATCH 114 != 162,0,0.0,6,JPEGS\22.jpg,out\ocr_text\page_022.txt
23,114,162,70.37,False,COUNT_MISMATCH 114 != 162,0,0.6,6,JPEGS\23.jpg,out\ocr_text\page_023.txt
24,143,162,88.27,False,COUNT_MISMATCH 143 != 162,0,0.4,6,JPEGS\24.jpg,out\ocr_text\page_024.txt
25,110,162,67.9,False,COUNT_MISMATCH 110 != 162,0,0.0,6,JPEGS\25.jpg,out\ocr_text\page_025.txt
26,143,162,88.27,False,COUNT_MISMATCH 143 != 162,0,0.6,6,JPEGS\26.jpg,out\ocr_text\page_026.txt
27,101,162,62.35,False,COUNT_MISMATCH 101 != 162,0,0.6,6,JPEGS\27.jpg,out\ocr_text\page_027.txt
28,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.4,6,JPEGS\28.jpg,out\ocr_text\page_028.txt
29,113,162,69.75,False,COUNT_MISMATCH 113 != 162,0,0.2,6,JPEGS\29.jpg,out\ocr_text\page_029.txt
30,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.6,6,JPEGS\30.jpg,out\ocr_text\page_030.txt
31,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.4,6,JPEGS\31.jpg,out\ocr_text\page_031.txt
32,109,162,67.28,False,COUNT_MISMATCH 109 != 162,0,0.4,6,JPEGS\32.jpg,out\ocr_text\page_032.txt
33,110,162,67.9,False,COUNT_MISMATCH 110 != 162,0,0.4,6,JPEGS\33.jpg,out\ocr_text\page_033.txt
34,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.2,6,JPEGS\34.jpg,out\ocr_text\page_034.txt
35,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.2,6,JPEGS\35.jpg,out\ocr_text\page_035.txt
36,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,-0.2,6,JPEGS\36.jpg,out\ocr_text\page_036.txt
37,108,162,66.67,False,COUNT_MISMATCH 108 != 162,0,0.2,6,JPEGS\37.jpg,out\ocr_text\page_037.txt
38,109,162,67.28,False,COUNT_MISMATCH 109 != 162,0,0.0,6,JPEGS\38.jpg,out\ocr_text\page_038.txt
